folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,macro_cluster,macro_cluster_prob,sub_cluster,full_label
cyanodefects_data/cyanodefects_007_data,cn-h,2.354,0.990272,low,2.2859,0.2982,264.65,0.998872,high,0.144106,0.064058,0.889,high,2.7979,3.0961,1.8406,2.0064,1.5619,2.0064,1.5064,1,1.0,0,B.1
cyanodefects_data/cyanodefects_007_data,cn,2.4367,0.989225,low,3.0105,0.2258,247.02,0.998383,high,0.082502,0.041251,1.0,high,2.7769,3.0027,1.9052,2.2219,1.7219,2.2219,1.7219,1,1.0,0,B.1
cyanodefects_data/cyanodefects_007_data,mm-h,2.3864,0.994658,low,2.5812,0.254,337.22,0.99662,high,0.152887,0.076443,1.0,high,2.7712,3.0253,2.1101,2.2909,1.7909,2.2909,1.7909,1,1.0,0,B.1
cyanodefects_data/cyanodefects_010_data,ms-500,2.596,0.997944,medium,5.4979,0.1339,163.47,0.996649,high,0.032204,0.013335,0.8282,high,2.771,2.9049,2.3454,2.487,2.073,2.487,1.987,1,0.9995890101312915,0,B.1
cyanodefects_data/cyanodefects_010_data,ms-600,2.7891,0.997349,medium,3.5413,0.2167,268.91,0.998866,high,0.065927,0.032964,1.0,high,3.0963,3.313,2.5595,2.696,2.196,2.696,2.196,1,0.9999999999936033,1,B.2
cyanodefects_data/cyanodefects_011_data,g-c3n4-300,2.5113,0.994609,low,3.0563,0.1994,410.91,0.999984,high,0.055205,0.027603,1.0,high,2.8088,3.0083,2.2348,2.372,1.872,2.372,1.872,1,0.9999997928569854,1,B.2
cyanodefects_data/cyanodefects_011_data,g-c3n4-350,2.3649,0.994131,low,2.2404,0.2353,350.13,0.999786,high,0.042462,0.021231,1.0,high,2.8467,3.082,2.1125,2.2346,1.7346,2.2346,1.7346,1,0.9999585011587884,1,B.2
cyanodefects_data/cyanodefects_011_data,g-c3n4-400,2.1803,0.993038,low,1.7935,0.2816,279.71,0.999579,high,0.081306,0.040653,1.0,high,2.8383,3.1199,1.9584,2.0853,1.5853,2.0853,1.5853,1,1.0,0,B.1
cyanodefects_data/cyanodefects_011_data,g-c3n4-Ar-425,2.5436,0.996825,low,3.1686,0.2072,391.22,0.999952,high,0.049844,0.024922,1.0,high,2.7932,3.0004,2.198,2.3591,1.8591,2.3591,1.8591,1,0.9999967760759022,1,B.2
cyanodefects_data/cyanodefects_011_data,g-c3n4,2.5624,0.991432,low,3.3483,0.2506,234.11,0.999805,high,0.006614,0.003307,1.0,high,2.7799,3.0306,2.2784,2.452,1.952,2.452,1.952,0,0.9833036707615346,0,A.1
cyanodefects_data/cyanodefects_013_data,a,2.4702,0.992595,low,2.6268,0.2471,285.35,0.998055,high,0.037524,0.018762,1.0,high,2.797,3.0441,1.928,2.1003,1.6003,2.1003,1.6003,1,0.9997900647504105,0,B.1
cyanodefects_data/cyanodefects_013_data,b,2.644,0.988598,low,3.4339,0.188,555.28,0.999906,high,0.101447,0.050723,1.0,high,2.8937,3.0817,2.3013,2.4512,1.9512,2.4512,1.9512,1,1.0,1,B.2
cyanodefects_data/cyanodefects_014_data,dcn-3,2.6724,0.989689,low,3.3012,0.3513,514.84,0.999969,high,0.014332,0.007166,1.0,high,2.8237,3.175,2.3991,2.5625,2.0625,2.5625,2.0625,0,0.9865575813030406,0,A.1
cyanodefects_data/cyanodefects_014_data,g-c3n4,2.8991,0.949091,low,3.6151,0.34,149.81,0.999917,high,0.000171,8.6e-05,1.0,high,2.9326,3.2726,2.54,2.8016,2.3016,2.8016,2.3016,0,0.9999921027529005,1,A.2
elementdoped_data/cdoped_003_data,ucn,2.6188,0.986549,low,2.7662,0.185,323.8,0.993846,medium,0.14108,0.068505,0.9712,high,3.0158,3.2008,2.3684,2.4943,2.0087,2.4943,1.9943,1,1.0,1,B.2
elementdoped_data/cdoped_004_data,cntcne-10,2.4472,0.996092,low,2.4292,0.2629,318.04,0.999798,high,0.021945,0.010973,1.0,high,2.8959,3.1588,2.2234,2.3632,1.8632,2.3632,1.8632,1,0.6078653958833954,0,B.1
elementdoped_data/cdoped_004_data,cntcne-20,2.3299,0.99326,low,2.037,0.3097,266.85,0.999805,high,0.032763,0.016381,1.0,high,2.8738,3.1834,1.9694,2.1252,1.6252,2.1252,1.6252,1,0.9995534484065253,0,B.1
elementdoped_data/cdoped_004_data,cntcne-40,2.2271,0.995719,low,1.8461,0.3346,313.2,0.999289,high,0.048182,0.024091,1.0,high,2.8221,3.1567,1.9344,2.0616,1.5616,2.0616,1.5616,1,0.9999997949960552,0,B.1
elementdoped_data/codoped_001_data,co,2.3742,0.987503,low,2.148,0.3111,623.46,0.998013,high,0.050074,0.025037,1.0,high,2.7282,3.0393,2.1153,2.2741,1.7741,2.2741,1.7741,1,0.9997208570185386,1,B.2
elementdoped_data/codoped_001_data,fe-co,2.4048,0.994875,low,2.6,0.2303,144.39,0.97829,low,0.06391,0.028928,0.9053,high,2.75,2.9803,1.8927,2.0145,1.5619,2.0145,1.5145,1,0.9999999999999982,0,B.1
elementdoped_data/codoped_001_data,fe,2.3806,0.977066,low,2.27,0.2722,111.08,0.982914,medium,0.065241,0.027575,0.8453,high,2.7228,2.995,1.8508,1.9773,1.5547,1.9773,1.4773,1,1.0,0,B.1
elementdoped_data/codoped_001_data,pure,2.3653,0.994936,low,2.4076,0.2881,175.81,0.999866,high,0.047878,0.023939,1.0,high,2.6941,2.9823,2.0395,2.2004,1.7004,2.2004,1.7004,1,0.9999999990903818,0,B.1
elementdoped_data/codoped_002_data,acn,2.1581,0.991152,low,1.757,0.4294,342.56,0.998605,high,0.15801,0.077677,0.9832,high,2.8512,3.2806,1.9227,2.0498,1.5582,2.0498,1.5498,1,1.0,0,B.1
elementdoped_data/codoped_002_data,bcn,2.4126,0.991771,low,2.5835,0.3321,279.93,0.999127,high,0.034174,0.017087,1.0,high,2.7395,3.0716,1.9396,2.2822,1.7822,2.2822,1.7822,1,0.9992902518966823,0,B.1
elementdoped_data/cudoped_001_data,cu-cn-ar-6min,2.6874,0.998684,medium,3.1458,0.2932,282.94,0.99949,high,0.013452,0.006726,1.0,high,2.8582,3.1514,2.3188,2.603,2.103,2.603,2.103,0,0.9887392171806196,0,A.1
elementdoped_data/cudoped_001_data,cu-cn-co2-12min,2.8424,0.998512,medium,4.0803,0.2505,110.81,0.9986,high,9e-06,5e-06,1.0,high,2.9221,3.1726,2.3324,2.5338,2.0338,2.5338,2.0338,0,0.9999913566759805,1,A.2
elementdoped_data/cudoped_001_data,cu-cn-co2-6min,2.67,0.996804,low,3.5322,0.2746,208.99,0.997989,high,0.016546,0.008273,1.0,high,2.8314,3.106,2.2735,2.4748,1.9748,2.4748,1.9748,0,0.9440853181692442,0,A.1
elementdoped_data/cudoped_001_data,g-c3n4,2.6706,0.997782,medium,3.0315,0.3056,233.67,0.999092,high,0.022484,0.011242,1.0,high,2.863,3.1686,2.1599,2.3613,1.8613,2.3613,1.8613,0,0.6061710417233006,0,A.1
elementdoped_data/idoped_001_data,cn,2.455,0.995815,low,2.7336,0.2573,303.49,0.999837,high,0.042795,0.021398,1.0,high,2.8109,3.0682,1.9775,2.1409,1.6409,2.1409,1.6409,1,0.9999850517358448,0,B.1
elementdoped_data/idoped_001_data,cni10,2.1742,0.996036,low,1.9668,0.3043,179.81,0.999434,high,0.052224,0.021874,0.8377,high,2.7568,3.0612,1.856,1.9775,1.5586,1.9775,1.4775,1,0.9999999999943583,0,B.1
elementdoped_data/ladoped_001_data,0001la-doped-c3n4,2.6807,0.987655,low,32.147,0.3047,154.36,0.999798,high,0.000118,5.9e-05,1.0,high,2.7522,3.0569,2.2449,2.3927,1.8927,2.3927,1.8927,0,0.9991663674792163,1,A.2
elementdoped_data/ladoped_001_data,001la-doped-c3n4,2.6911,0.98799,low,36.4772,0.2767,156.75,0.999618,high,0.000552,0.000276,1.0,high,2.8011,3.0778,2.3,2.5733,2.0733,2.5733,2.0733,0,0.9992974351687688,1,A.2
elementdoped_data/ladoped_001_data,01la-doped-c3n4,2.6797,0.994539,low,36.4661,0.2521,148.11,0.999977,high,0.0003,0.00015,1.0,high,2.7828,3.035,2.3005,2.4491,1.9491,2.4491,1.9491,0,0.9992038958411327,1,A.2
elementdoped_data/ladoped_001_data,05la-doped-c3n4,2.6575,0.998581,medium,44.4851,0.1561,141.82,0.998842,high,0.004379,0.00219,1.0,high,2.8182,2.9743,2.3121,2.4595,1.9595,2.4595,1.9595,0,0.9978955035700436,1,A.2
elementdoped_data/ladoped_001_data,1la-doped-c3n4,2.6908,0.996389,low,39.4786,0.2042,153.18,0.999868,high,0.001629,0.000814,1.0,high,2.8037,3.0079,2.3658,2.5703,2.0703,2.5703,2.0703,0,0.999262485760576,1,A.2
elementdoped_data/ladoped_001_data,pure-c3n4,2.6723,0.983882,low,29.96,0.3801,136.96,0.99988,high,5e-06,2e-06,0.9457,high,2.7181,3.0982,2.2369,2.3846,1.9118,2.3846,1.8846,0,0.9991941781481375,1,A.2
elementdoped_data/nddoped_001_data,hgcn,2.0805,0.998334,medium,7.3977,0.7104,89.59,0.979869,low,9.2e-05,4.4e-05,0.9641,high,2.6094,3.3198,1.6596,1.9274,1.4453,1.9274,1.4274,1,0.999947584106239,0,B.1
elementdoped_data/nddoped_001_data,ndgcn,2.7408,0.997836,medium,8.6803,0.4439,257.04,0.997142,high,0.00018,9e-05,1.0,high,3.0816,3.5256,2.1953,2.4631,1.9631,2.4631,1.9631,0,0.998910215825038,0,A.1
elementdoped_data/odoped_001_data,cn,2.6184,0.998556,medium,3.3858,0.2435,258.96,0.999129,high,0.010863,0.005432,1.0,high,2.8236,3.0672,2.2989,2.5047,2.0047,2.5047,2.0047,0,0.9856561230817616,0,A.1
elementdoped_data/odoped_001_data,cnca01,2.4893,0.998461,medium,2.9248,0.2667,216.37,0.99778,high,0.008226,0.004113,1.0,high,2.7743,3.041,2.0242,2.3667,1.8667,2.3667,1.8667,0,0.9282488540091661,0,A.1
elementdoped_data/odoped_001_data,cnca02,2.2366,0.998442,medium,2.0875,0.5442,249.69,0.999668,high,0.011387,0.005694,1.0,high,2.5787,3.1228,2.011,2.1392,1.6392,2.1392,1.6392,1,0.8267778078551086,0,B.1
elementdoped_data/odoped_001_data,cnca03,2.076,0.998726,medium,1.8383,0.6605,196.87,0.999542,high,0.015356,0.006257,0.815,high,2.4755,3.136,1.8279,1.9557,1.5482,1.9557,1.4557,1,0.9990062463268836,0,B.1
