folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,macro_cluster,macro_cluster_prob,sub_cluster,full_label
ndefects_data/ndefects_008_data,g-c3n4-001,2.4658,0.992691,low,2.3248,0.2563,184.72,0.997697,high,0.057306,0.028653,1.0,high,2.7923,3.0486,2.1907,2.3315,1.8315,2.3315,1.8315,1,0.9999999999926139,0,B.1
ndefects_data/ndefects_008_data,g-c3n4-003,2.426,0.993287,low,2.3306,0.244,145.33,0.998185,high,0.050926,0.025463,1.0,high,2.7727,3.0167,1.8964,2.2688,1.7688,2.2688,1.7688,1,0.9999999999727152,0,B.1
ndefects_data/ndefects_008_data,g-c3n4-005,2.4043,0.997547,medium,2.1766,0.2433,90.08,0.998725,high,0.049965,0.024982,1.0,high,2.7976,3.0409,2.0017,2.1854,1.6854,2.1854,1.6854,1,0.9999999999998472,0,B.1
ndefects_data/ndefects_008_data,g-c3n4-007,2.3459,0.996703,low,2.0536,0.2725,166.57,0.999421,high,0.038503,0.019251,1.0,high,2.7899,3.0624,2.0502,2.1973,1.6973,2.1973,1.6973,1,0.999999795936191,0,B.1
ndefects_data/ndefects_008_data,g-c3n4,2.4385,0.996848,low,2.1435,0.2804,239.04,0.994215,medium,0.03784,0.01892,1.0,high,2.7875,3.068,2.1949,2.3342,1.8342,2.3342,1.8342,1,0.9999701414518637,0,B.1
ndefects_data/ndefects_009_data,1egcn,2.5006,0.987758,low,3.0152,0.2663,275.53,0.999968,high,0.005824,0.002842,0.976,high,2.785,3.0514,2.1179,2.257,1.769,2.257,1.757,0,0.9649287910640298,0,A.1
ndefects_data/ndefects_009_data,3egcn,2.4486,0.986748,low,3.0359,0.3008,309.42,0.999765,high,0.076315,0.038158,1.0,high,2.7364,3.0372,2.1814,2.3293,1.8293,2.3293,1.8293,1,0.9999999999999827,0,B.1
ndefects_data/ndefects_009_data,4egcn,2.3697,0.990582,low,2.7687,0.3178,444.22,0.999423,high,0.048533,0.024267,1.0,high,2.7336,3.0514,2.0557,2.2146,1.7146,2.2146,1.7146,1,0.9999823492585657,1,B.2
ndefects_data/ndefects_010_data,d3-g-c3n4,2.3397,0.999484,high,1.5938,0.3736,151.87,0.999645,high,0.000953,0.000476,1.0,high,2.7889,3.1625,1.9914,2.1896,1.6896,2.1896,1.6896,1,0.6518211860506783,0,B.1
ndefects_data/ndefects_010_data,g-c3n4,2.5911,0.994754,low,2.8703,0.1857,236.77,0.999856,high,0.002699,0.00135,1.0,high,2.7889,2.9746,2.2232,2.4276,1.9276,2.4276,1.9276,0,0.9914607420848833,0,A.1
ndefects_data/ndefects_021_data,bcn,2.5929,0.994206,low,3.4059,0.2136,318.12,0.999979,high,0.02046,0.01023,1.0,high,2.7858,2.9994,2.0548,2.1934,1.6934,2.1934,1.6934,0,0.8094468380467555,0,A.1
ndefects_data/ndefects_021_data,tpcn2,2.47,0.99466,low,2.0436,0.291,358.3,0.999949,high,0.026661,0.013331,1.0,high,2.8311,3.1221,2.0811,2.2234,1.7234,2.2234,1.7234,1,0.8116437187826523,0,B.1
ndefects_data/ndefects_021_data,tpcn5,2.4424,0.992993,low,1.7434,0.3104,300.13,0.999934,high,0.016267,0.008134,1.0,high,2.822,3.1324,1.9559,2.0811,1.5811,2.0811,1.5811,0,0.7459721727729686,0,A.1
ndefects_data/ndefects_021_data,tpcn8,2.4815,0.995563,low,2.0488,0.274,505.51,0.999911,high,0.041785,0.020893,1.0,high,2.848,3.122,2.1206,2.2686,1.7686,2.2686,1.7686,1,0.9978114439672243,1,B.2
ndefects_data/ndefects_030_data,cn,2.4327,0.983501,low,2.1144,0.375,210.25,0.999689,high,0.053351,0.026675,1.0,high,2.6356,3.0106,1.9609,2.0882,1.5882,2.0882,1.5882,1,0.9999999996427213,0,B.1
ndefects_data/ndefects_030_data,vcn-500,2.3568,0.973534,low,1.7396,0.4222,661.55,0.999925,high,0.137508,0.068754,1.0,high,2.6592,3.0814,2.0493,2.1888,1.6888,2.1888,1.6888,1,1.0,1,B.2
ndefects_data/ndefects_030_data,vcn-550,2.278,0.977535,low,1.8741,0.4096,260.86,0.999017,high,0.11371,0.053481,0.9407,high,2.6234,3.033,1.8481,2.0218,1.5515,2.0218,1.5218,1,1.0,0,B.1
ndefects_data/ndefects_030_data,vcn-600,2.2157,0.984345,low,1.8228,0.3558,281.94,0.999733,high,0.113986,0.052891,0.928,high,2.6487,3.0045,1.8775,2.0189,1.5549,2.0189,1.5189,1,1.0,0,B.1
ndefects_data/ndefects_038_data,125agi-cn,2.4176,0.996099,low,2.8451,0.2329,292.82,0.999873,high,0.041525,0.020763,1.0,high,2.7326,2.9655,2.0744,2.2725,1.7725,2.2725,1.7725,1,0.9999824464378596,0,B.1
ndefects_data/ndefects_038_data,25agi-cn,2.3973,0.998205,medium,2.9154,0.2018,239.85,0.998554,high,0.062481,0.03007,0.9625,high,2.7467,2.9485,1.9034,2.0376,1.5563,2.0376,1.5376,1,0.9999999999969789,0,B.1
ndefects_data/ndefects_038_data,5agi-cn,2.3689,0.997431,medium,2.8564,0.1985,265.56,0.999929,high,0.055051,0.027525,1.0,high,2.7182,2.9166,2.0799,2.2432,1.7432,2.2432,1.7432,1,0.9999999989205399,0,B.1
ndefects_data/ndefects_038_data,cn,2.4202,0.995148,low,2.6967,0.227,354.91,0.999679,high,0.061292,0.030646,1.0,high,2.7494,2.9764,2.1249,2.3332,1.8332,2.3332,1.8332,1,0.9999999990595736,1,B.2
ndefects_data/ndefects_039_data,a,2.5097,0.989409,low,2.9366,0.2376,358.6,0.999262,high,0.00204,0.00102,1.0,high,2.7325,2.9701,2.1953,2.3975,1.8975,2.3975,1.8975,0,0.9609459552631942,0,A.1
ndefects_data/ndefects_039_data,f,2.1223,0.960938,low,1.3608,0.3621,190.16,0.999807,high,0.095297,0.046514,0.9762,high,2.837,3.1992,1.8271,2.042,1.5539,2.042,1.542,1,1.0,0,B.1
ndefects_data/ndefects_040_data,a,2.4633,0.997566,medium,2.9011,0.2076,276.62,0.999821,high,0.002583,0.001291,1.0,high,2.7387,2.9463,2.1232,2.3809,1.8809,2.3809,1.8809,0,0.9356604905100718,0,A.1
ndefects_data/ndefects_040_data,b,2.3049,0.996923,low,2.3564,0.2416,253.7,0.999957,high,0.025717,0.012859,1.0,high,2.6971,2.9386,2.0647,2.2101,1.7101,2.2101,1.7101,1,0.9933676197066891,0,B.1
ndefects_data/ndefects_042_data,cn,2.6869,0.992928,low,2.8905,0.2288,229.98,0.999677,high,0.002804,0.001402,1.0,high,2.9204,3.1492,2.3878,2.5952,2.0952,2.5952,2.0952,0,0.9982562713589495,0,A.1
ndefects_data/ndefects_042_data,odh-cn1,2.7033,0.979404,low,3.2484,0.2326,256.18,0.997344,high,0.002053,0.001026,1.0,high,2.9616,3.1942,2.2475,2.4304,1.9304,2.4304,1.9304,0,0.9982890992210667,0,A.1
ndefects_data/ndefects_042_data,odh-cn2,2.5228,0.98867,low,2.4799,0.2574,167.57,0.998403,high,0.007567,0.003783,1.0,high,2.9613,3.2187,2.0823,2.2384,1.7384,2.2384,1.7384,0,0.9440836167918968,0,A.1
ndefects_data/ndefects_044_data,cnm,2.2373,0.990612,low,2.2096,0.3997,155.16,0.983235,medium,0.002697,0.001349,1.0,high,2.56,2.9597,1.9222,2.0569,1.5569,2.0569,1.5569,1,0.9519893687783949,0,B.1
ndefects_data/ndefects_045_data,b10,2.4995,0.991926,low,3.1752,0.2618,291.29,0.999602,high,0.022646,0.011323,1.0,high,2.7209,2.9827,2.1782,2.3981,1.8981,2.3981,1.8981,1,0.6534001933081165,0,B.1
ndefects_data/ndefects_045_data,f10,2.4655,0.975327,low,2.4429,0.2661,384.68,0.999799,high,0.077507,0.038754,1.0,high,2.8954,3.1614,2.0397,2.173,1.673,2.173,1.673,1,0.9999999999998388,1,B.2
ndefects_data/ndefects_045_data,f12,2.6014,0.983425,low,2.9565,0.2577,322.33,0.994412,medium,0.063973,0.031986,1.0,high,2.9138,3.1715,2.068,2.3097,1.8097,2.3097,1.8097,1,0.9999999999136326,1,B.2
ndefects_data/ndefects_045_data,f2,2.4053,0.993951,low,2.3231,0.273,448.57,0.999814,high,0.071925,0.035962,1.0,high,2.8525,3.1254,2.1424,2.29,1.79,2.29,1.79,1,0.9999999999652149,1,B.2
ndefects_data/ndefects_045_data,f4,2.3929,0.9972,medium,2.2615,0.2686,424.92,0.999483,high,0.068916,0.034458,1.0,high,2.8774,3.146,2.1509,2.2986,1.7986,2.2986,1.7986,1,0.9999999999027867,1,B.2
ndefects_data/ndefects_045_data,f6,2.4594,0.982823,low,2.4654,0.2729,406.06,0.999702,high,0.068973,0.034486,1.0,high,2.9041,3.177,2.0862,2.2259,1.7259,2.2259,1.7259,1,0.9999999999495874,1,B.2
ndefects_data/ndefects_045_data,f8,2.4299,0.978228,low,2.3706,0.2161,439.15,0.998445,high,0.085215,0.042608,1.0,high,2.8908,3.1068,2.0563,2.3125,1.8125,2.3125,1.8125,1,0.9999999999999867,1,B.2
ndefects_data/ndefects_046_data,ac-cn4,2.4431,0.993468,low,2.6645,0.2157,497.26,0.99968,high,0.063893,0.031946,1.0,high,2.7827,2.9984,2.1842,2.3387,1.8387,2.3387,1.8387,1,0.999999988544996,1,B.2
ndefects_data/ndefects_046_data,cn,2.5672,0.98988,low,3.4632,0.2015,332.65,0.999976,high,0.002278,0.001139,1.0,high,2.7605,2.962,2.2579,2.4235,1.9235,2.4235,1.9235,0,0.9824478801984019,0,A.1
ndefects_data/ndefects_048_data,cnna-15,2.4058,0.989795,low,1.5641,0.3395,185.02,0.986462,medium,0.039696,0.019848,1.0,medium,2.7223,3.0618,1.9929,2.2885,1.7885,2.2885,1.7885,1,0.999999385220921,0,B.1
ndefects_data/ndefects_048_data,g-c3n4,2.5515,0.991568,low,2.2746,0.2233,269.06,0.997623,high,0.00921,0.004605,1.0,medium,2.7438,2.967,2.1695,2.4514,1.9514,2.4514,1.9514,0,0.9754759730195577,0,A.1
ndefects_data/ndefects_055_data,cn-n,2.5951,0.995027,low,2.8141,0.2793,252.81,0.999158,high,0.018095,0.009047,1.0,high,2.815,3.0943,2.0619,2.2498,1.7498,2.2498,1.7498,0,0.8431864461655497,0,A.1
ndefects_data/ndefects_055_data,cn-s,2.5864,0.997723,medium,2.8379,0.2563,277.84,0.999945,high,0.023479,0.011739,1.0,high,2.825,3.0813,2.2567,2.3918,1.8918,2.3918,1.8918,1,0.5820588417484973,0,B.1
ndefects_data/ndefects_057_data,cnt-12,2.5383,0.995166,low,2.5655,0.2056,265.54,0.999379,high,0.05904,0.02952,1.0,high,2.8062,3.0118,2.1607,2.2992,1.7992,2.2992,1.7992,1,0.9999999997757238,1,B.2
ndefects_data/ndefects_057_data,cnt-16,2.5048,0.997194,medium,2.3774,0.1792,311.91,0.99845,high,0.095342,0.047671,1.0,high,2.8326,3.0118,2.1607,2.2992,1.7992,2.2992,1.7992,1,1.0,0,B.1
ndefects_data/ndefects_057_data,cnt-8,2.4788,0.998205,medium,2.3429,0.1906,221.8,0.997895,high,0.023247,0.011623,1.0,high,2.7692,2.9598,2.2291,2.3768,1.8768,2.3768,1.8768,1,0.927007029577162,0,B.1
ndefects_data/ndefects_060_data,gcn-0tap,2.5177,0.993806,low,2.6828,0.263,617.16,0.999852,high,0.013915,0.006957,1.0,high,2.7889,3.0518,1.9914,2.2158,1.7158,2.2158,1.7158,0,0.9814788562220667,2,A.3
ndefects_data/ndefects_060_data,gcn,2.5686,0.984572,low,2.7206,0.2999,489.77,0.999976,high,0.009986,0.004993,1.0,high,2.7874,3.0873,2.1201,2.3762,1.8762,2.3762,1.8762,0,0.9849041220541036,0,A.1
ndefects_data/ndefects_062_data,cn,2.6219,0.983106,low,2.5943,0.2364,115.87,0.983324,medium,0.001722,0.000861,1.0,high,2.7541,2.9905,2.376,2.5115,2.0115,2.5115,2.0115,0,0.9972570347351184,1,A.2
ndefects_data/ndefects_067_data,cn-b,2.7709,0.998885,medium,24.7573,0.1674,124.26,0.992794,medium,1.1e-05,6e-06,1.0,high,2.8196,2.987,2.5464,2.6905,2.1905,2.6905,2.1905,0,0.9999334119097966,1,A.2
ndefects_data/ndefects_069_data,cn,2.7126,0.997545,medium,9.5665,0.2099,166.56,0.999727,high,0.002949,0.001474,1.0,high,2.8232,3.0331,2.2291,2.3682,1.8682,2.3682,1.8682,0,0.9993703496350381,1,A.2
ndefects_data/ndefects_069_data,h-cn,2.7216,0.998814,medium,9.7826,0.2286,163.99,0.999905,high,0.002678,0.001339,1.0,high,2.8489,3.0775,2.3682,2.5351,2.0351,2.5351,2.0351,0,0.9995039523448678,1,A.2
ndefects_data/ndefects_069_data,n-cn,2.6684,0.998549,medium,7.707,0.2285,305.3,0.999992,high,0.011495,0.005747,1.0,high,2.8886,3.1171,2.3404,2.4795,1.9795,2.4795,1.9795,0,0.9915792623169829,0,A.1
ndefects_data/ndefects_070_data,melon,2.531,0.993039,low,3.7526,0.2567,189.86,0.999471,high,0.00736,0.00368,1.0,high,2.7018,2.9584,2.2372,2.3994,1.8994,2.3994,1.8994,0,0.9616545042716343,0,A.1
ndefects_data/ndefects_070_data,ncn-cnx,2.5252,0.962452,low,4.2855,0.2403,307.46,0.999727,high,0.003916,0.001958,1.0,high,2.6816,2.9219,2.0787,2.2179,1.7179,2.2179,1.7179,0,0.9753201584925092,0,A.1
ndefects_data/ndefects_070_data,urea-cnx,2.7617,0.980646,low,5.758,0.1812,287.21,0.996493,high,0.009477,0.004739,1.0,high,2.8523,3.0335,2.4511,2.6471,2.1471,2.6471,2.1471,0,0.9980565646892969,0,A.1
ndefects_data/ndefects_073_data,g-c3n4,2.3879,0.989898,low,2.4119,0.4078,242.58,0.996745,high,0.070416,0.035208,1.0,high,2.6908,3.0985,2.0194,2.2571,1.7571,2.2571,1.7571,1,0.9999999999999809,0,B.1
ndefects_data/ndefects_073_data,nd-g-c3n4,2.3018,0.995487,low,2.1112,0.334,362.02,0.999929,high,0.085221,0.04261,1.0,high,2.8064,3.1404,2.0351,2.2182,1.7182,2.2182,1.7182,1,0.9999999999999991,0,B.1
ndefects_data/ndefects_077_data,g-c3n4,2.4918,0.995556,low,2.8151,0.2358,408.19,0.999824,high,0.049155,0.024578,1.0,high,2.7362,2.9721,2.2566,2.3902,1.8902,2.3902,1.8902,1,0.9999934986714751,1,B.2
ndefects_data/ndefects_080_data,cn,2.3726,0.98522,low,2.1219,0.3531,209.56,0.997479,high,0.004454,0.002227,1.0,high,2.8248,3.1779,1.9759,2.2565,1.7565,2.2565,1.7565,0,0.6874692174284084,0,A.1
ndefects_data/ndefects_080_data,cnr,2.3948,0.986135,low,2.1401,0.3956,259.94,0.999633,high,0.006512,0.003256,1.0,high,2.7938,3.1894,2.054,2.279,1.779,2.279,1.779,0,0.832463622870733,0,A.1
ndefects_data/ndefects_080_data,ir,2.3947,0.97424,low,1.9995,0.4471,785.28,0.999945,high,0.023972,0.011986,1.0,high,2.7468,3.1939,1.8453,2.0651,1.5651,2.0651,1.5651,0,0.96601242190265,2,A.3
ndefects_data/ndefects_080_data,pt,2.2468,0.97477,low,1.7537,0.361,795.55,0.998675,high,0.026499,0.013249,1.0,high,2.782,3.143,1.796,1.9658,1.4658,1.9658,1.4658,0,0.958389813510211,2,A.3
ndefects_data/ndefects_080_data,ru,2.4827,0.969951,low,2.0626,0.3294,548.05,0.998014,high,0.036752,0.018376,1.0,high,2.8663,3.1957,2.0632,2.3677,1.8677,2.3677,1.8677,1,0.9578337399241952,1,B.2
ndefects_data/ndefects_083_data,gcn-s,2.9451,0.997135,medium,15.3812,0.1641,178.36,0.999823,high,0.003242,0.001621,1.0,high,3.0545,3.2186,2.4917,2.636,2.136,2.636,2.136,0,0.9999888756855853,1,A.2
ndefects_data/ndefects_083_data,gcn,2.6602,0.997296,medium,11.8063,0.1852,154.65,0.999674,high,0.004773,0.002386,1.0,high,2.7849,2.9701,2.4263,2.5703,2.0703,2.5703,2.0703,0,0.997773680919929,1,A.2
ndefects_data/ndefects_086_data,cn-m,2.4925,0.995683,low,3.6864,0.1836,312.77,0.999865,high,0.087609,0.043804,1.0,high,2.7531,2.9368,2.2765,2.4049,1.9049,2.4049,1.9049,1,1.0,0,B.1
ndefects_data/ndefects_086_data,cn-u,2.4447,0.994135,low,3.979,0.1457,399.81,0.998615,high,0.123514,0.061757,1.0,high,2.7048,2.8505,2.1556,2.2949,1.7949,2.2949,1.7949,1,1.0,1,B.2
ndefects_data/ndefects_086_data,cn-u10m,2.5339,0.984536,low,5.0723,0.1255,338.16,0.999318,high,0.039286,0.019643,1.0,high,2.707,2.8325,2.2346,2.3847,1.8847,2.3847,1.8847,1,0.9995669444333918,1,B.2
ndefects_data/ndefects_086_data,cn-u30m,2.4577,0.985883,low,4.1444,0.1758,444.1,0.999288,high,0.127483,0.063741,1.0,high,2.6771,2.8529,2.2377,2.3617,1.8617,2.3617,1.8617,1,1.0,1,B.2
ndefects_data/ndefects_087_data,cn,2.5105,0.982111,low,3.214,0.2663,455.82,0.997073,high,0.059723,0.029862,1.0,high,2.7907,3.057,2.2243,2.411,1.911,2.411,1.911,1,0.9999999578295151,1,B.2
ndefects_data/ndefects_087_data,cn180-12,2.44,0.992223,low,2.0482,0.3834,318.64,0.999728,high,0.094481,0.043592,0.9228,high,2.8039,3.1873,1.8911,2.0244,1.563,2.0244,1.5244,1,1.0,0,B.1
ndefects_data/ndefects_087_data,cn180-4,2.5046,0.988926,low,2.7067,0.3063,279.79,0.999607,high,0.097071,0.048535,1.0,high,2.8321,3.1385,2.2286,2.4161,1.9161,2.4161,1.9161,1,1.0,0,B.1
ndefects_data/ndefects_087_data,cn180-8,2.5515,0.990768,low,2.8631,0.2882,354.34,0.999887,high,0.060643,0.030322,1.0,high,2.8374,3.1257,2.2594,2.4523,1.9523,2.4523,1.9523,1,0.9999999982544079,1,B.2
