folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,baseline_corrected,baseline_delta,baseline_known_Eg,baseline_calibrator
elementdoped_data/pddoped_001_data,cv-cn,2.3643,0.983778,low,1.8874,0.4966,204.42,0.996082,high,0.012710,0.006355,1.0000,high,2.7357,3.2323,1.9832,2.2299,1.7299,2.2299,1.7299,False,0.000000,0.0000,
elementdoped_data/pddoped_001_data,pd-cv-cn,2.4794,0.985717,low,2.2302,0.3556,366.10,0.998660,high,0.040835,0.020418,1.0000,high,2.8632,3.2188,2.1957,2.3777,1.8777,2.3777,1.8777,False,0.000000,0.0000,
elementdoped_data/ptdoped_001_data,g-c3n4,2.2998,0.997351,high,1.9695,0.2829,196.30,0.999742,high,0.019842,0.009921,1.0000,high,2.8817,3.1646,1.9208,2.2107,1.7107,2.2107,1.7107,False,0.000000,0.0000,
elementdoped_data/ptdoped_001_data,pt-cn-a100,2.3554,0.994867,medium,2.1517,0.3393,314.66,0.999660,high,0.073377,0.036688,1.0000,high,2.7789,3.1182,1.9013,2.2522,1.7522,2.2522,1.7522,False,0.000000,0.0000,
elementdoped_data/ptdoped_001_data,pt-cn-a20,2.3364,0.994493,medium,2.2066,0.2923,226.25,0.999790,high,0.026213,0.013107,1.0000,high,2.7758,3.0681,1.9904,2.1477,1.6477,2.1477,1.6477,False,0.000000,0.0000,
elementdoped_data/ptdoped_001_data,pt-cn-a200,2.1737,0.995595,medium,1.8066,0.3169,394.50,0.999599,high,0.133297,0.066648,1.0000,high,2.7931,3.1100,1.9547,2.0846,1.5846,2.0846,1.5846,False,0.000000,0.0000,
elementdoped_data/ptdoped_001_data,pt-cn-a50,2.3530,0.995857,medium,2.2253,0.2888,268.93,0.999863,high,0.035328,0.017664,1.0000,high,2.7817,3.0705,1.9377,2.0652,1.5652,2.0652,1.5652,False,0.000000,0.0000,
elementdoped_data/sdoped_002_data,bulk-scn,2.7213,0.999108,high,9.0169,0.2003,111.39,0.999416,high,0.000059,0.000027,0.9267,high,2.8215,3.0218,2.4518,2.6225,2.1591,2.6225,2.1225,False,0.000000,0.0000,
elementdoped_data/sdoped_002_data,scnnss,2.9611,0.997500,high,14.7823,0.1272,109.77,0.999140,high,0.000001,0.000001,1.0000,high,3.0619,3.1891,2.5939,2.7170,2.2170,2.7170,2.2170,False,0.000000,0.0000,
ndefects_data/ndefects_001_data,c3n4-cl05,2.6620,0.998934,high,5.2026,0.2300,183.07,0.998197,high,0.029741,0.011156,0.7502,medium,2.8334,3.0634,2.4543,2.5790,2.2039,2.5790,2.0790,False,0.000000,0.0000,
ndefects_data/ndefects_001_data,c3n4-cl2,2.6814,0.998719,high,6.7317,0.2317,164.54,0.998782,high,0.040739,0.015928,0.7819,medium,2.8642,3.0958,2.4721,2.5969,2.2059,2.5969,2.0969,False,0.000000,0.0000,
ndefects_data/ndefects_001_data,c3n4-cl4,2.6491,0.998599,high,7.2512,0.2147,165.80,0.999377,high,0.031063,0.011051,0.7115,medium,2.8504,3.0651,2.4413,2.5661,2.2103,2.5661,2.0661,False,0.000000,0.0000,
ndefects_data/ndefects_001_data,c3n4-cl5,2.6439,0.996311,medium,7.7381,0.1715,178.29,0.996827,high,0.043212,0.014269,0.6604,medium,2.8628,3.0343,2.4102,2.5424,2.2122,2.5424,2.0424,False,0.000000,0.0000,
ndefects_data/ndefects_001_data,c3n4-cl6,2.5936,0.998839,high,7.7558,0.1936,138.63,0.996284,high,0.060653,0.018375,0.6059,medium,2.8269,3.0205,2.3830,2.5078,2.2048,2.5078,2.0078,False,0.000000,0.0000,
ndefects_data/ndefects_001_data,c3n4,2.6629,0.999025,high,4.2728,0.2317,146.09,0.999599,high,0.030532,0.009250,0.6059,medium,2.8334,3.0651,2.3879,2.5126,2.2097,2.5126,2.0126,False,0.000000,0.0000,
ndefects_data/ndefects_002_data,02-p1-c3n4,2.5607,0.998493,high,1.7888,0.2742,301.09,0.998692,high,0.140776,0.070388,1.0000,high,3.1755,3.4498,2.3002,2.4627,1.9627,2.4627,1.9627,False,0.000000,0.0000,
ndefects_data/ndefects_002_data,02-p2-c3n4,2.5563,0.997305,high,1.7384,0.3246,305.86,0.998059,high,0.128788,0.064394,1.0000,high,3.2103,3.5349,2.3031,2.4656,1.9656,2.4656,1.9656,False,0.000000,0.0000,
ndefects_data/ndefects_002_data,08-p1-c3n4,2.6648,0.998177,high,1.9717,0.3940,344.31,0.999805,high,0.084156,0.042078,1.0000,high,3.1383,3.5323,2.4038,2.5662,2.0662,2.5662,2.0662,False,0.000000,0.0000,
ndefects_data/ndefects_002_data,08-p2-c3n4,2.2930,0.998085,high,1.4565,0.3333,343.77,0.997948,high,0.138284,0.069142,1.0000,high,3.2328,3.5661,2.0400,2.2024,1.7024,2.2024,1.7024,False,0.000000,0.0000,
ndefects_data/ndefects_002_data,32-p1-c3n4,2.6269,0.999355,high,1.9071,0.4192,348.87,0.999780,high,0.095912,0.047956,1.0000,high,3.1407,3.5599,2.1053,2.5278,2.0278,2.5278,2.0278,False,0.000000,0.0000,
ndefects_data/ndefects_002_data,c3n4,2.6548,0.994952,medium,2.5141,0.2685,399.36,0.999534,high,0.117150,0.058575,1.0000,high,3.0820,3.3505,2.2588,2.4375,1.9375,2.4375,1.9375,False,0.000000,0.0000,
ndefects_data/ndefects_002_data,g-c3n4,2.6786,0.997095,high,2.0357,0.2833,363.80,0.999856,high,0.166227,0.083113,1.0000,high,3.2397,3.5230,2.2026,2.3651,1.8651,2.3651,1.8651,False,0.000000,0.0000,
ndefects_data/ndefects_003_data,11nhpo-c3n4,2.4413,0.990938,medium,2.4354,0.2103,133.18,0.998737,high,0.091085,0.038212,0.8390,high,2.7745,2.9848,2.0601,2.1940,1.7745,2.1940,1.6940,False,0.000000,0.0000,
ndefects_data/ndefects_003_data,13nhpo-c3n4,2.4804,0.997023,high,2.4522,0.1929,142.69,0.999039,high,0.087348,0.040645,0.9307,high,2.8274,3.0204,2.1110,2.2444,1.7791,2.2444,1.7444,False,0.000000,0.0000,
ndefects_data/ndefects_003_data,7nhpo-c3n4,2.4307,0.998477,high,2.5316,0.1574,253.33,0.999095,high,0.078388,0.039194,1.0000,high,2.7756,2.9330,2.1814,2.3445,1.8445,2.3445,1.8445,False,0.000000,0.0000,
ndefects_data/ndefects_003_data,9nhpo-c3n4,2.4305,0.993166,medium,2.4249,0.2036,87.56,0.999090,high,0.093521,0.028615,0.6119,medium,2.7660,2.9696,1.9498,2.0804,1.7745,2.0804,1.5804,False,0.000000,0.0000,
ndefects_data/ndefects_003_data,c3n4,2.4324,0.998640,high,2.5392,0.1524,195.67,0.999638,high,0.091104,0.045552,1.0000,high,2.7869,2.9393,2.1998,2.3445,1.8445,2.3445,1.8445,False,0.000000,0.0000,
ndefects_data/ndefects_004_data,a-c3n4,2.5728,0.997983,high,3.1575,0.2062,236.18,0.999867,high,0.003336,0.001668,1.0000,high,2.7975,3.0037,2.2602,2.4786,1.9786,2.4786,1.9786,False,0.000000,0.0000,
ndefects_data/ndefects_004_data,b-c3n4,2.0445,0.997742,high,1.4336,0.3494,211.23,0.997800,high,0.059030,0.024118,0.8171,high,2.8240,3.1734,1.7597,1.9616,1.5530,1.9616,1.4616,False,0.000000,0.0000,
ndefects_data/ndefects_005_data,p-c3n4,2.8600,0.997765,high,4.6866,0.1389,273.22,0.999137,high,0.008144,0.004072,1.0000,medium,3.0229,3.1618,2.3157,2.7316,2.2316,2.7316,2.2316,False,0.000000,0.0000,
ndefects_data/ndefects_005_data,pncn1-c3n4,1.9384,0.996441,medium,1.4262,0.1758,178.83,0.994199,medium,0.016953,0.006404,0.7554,medium,2.9088,3.0847,1.6330,1.8294,1.4517,1.8294,1.3294,False,0.000000,0.0000,
ndefects_data/ndefects_006_data,cn,2.4996,0.997100,high,2.1346,0.2837,231.40,0.999879,high,0.006054,0.003027,1.0000,high,2.8372,3.1209,2.1564,2.3471,1.8471,2.3471,1.8471,False,0.000000,0.0000,
ndefects_data/ndefects_006_data,ncn,2.4807,0.981214,low,2.6923,0.1868,379.72,0.996029,high,0.362819,0.181410,1.0000,high,3.0323,3.2191,2.1937,2.3843,1.8843,2.3843,1.8843,False,0.000000,0.0000,
ndefects_data/ndefects_007_data,cn,2.7698,0.999277,high,9.9423,0.2713,215.18,0.999724,high,0.001601,0.000801,1.0000,high,2.9106,3.1818,2.2525,2.4601,1.9601,2.4601,1.9601,False,0.000000,0.0000,
ndefects_data/ndefects_007_data,cn10,2.7714,0.998306,high,9.9219,0.1881,422.50,0.999932,high,0.006714,0.003357,1.0000,high,3.0047,3.1928,2.4724,2.6798,2.1798,2.6798,2.1798,False,0.000000,0.0000,
ndefects_data/ndefects_007_data,cn15,2.7246,0.998268,high,9.4799,0.1895,426.41,0.999560,high,0.006830,0.003415,1.0000,high,2.9812,3.1708,2.4629,2.6358,2.1358,2.6358,2.1358,False,0.000000,0.0000,
ndefects_data/ndefects_007_data,cn5,2.7883,0.995740,medium,10.4345,0.1846,314.76,0.999867,high,0.002495,0.001247,1.0000,high,2.9751,3.1598,2.4285,2.6360,2.1360,2.6360,2.1360,False,0.000000,0.0000,
ndefects_data/ndefects_008_data,g-c3n4-001,2.4658,0.992691,medium,2.3248,0.2563,184.72,0.997697,high,0.057306,0.028653,1.0000,high,2.7923,3.0486,2.1907,2.3315,1.8315,2.3315,1.8315,False,0.000000,0.0000,
ndefects_data/ndefects_008_data,g-c3n4-003,2.4260,0.993287,medium,2.3306,0.2440,145.33,0.998185,high,0.050926,0.025463,1.0000,high,2.7727,3.0167,1.8964,2.2688,1.7688,2.2688,1.7688,False,0.000000,0.0000,
ndefects_data/ndefects_008_data,g-c3n4-005,2.4043,0.997547,high,2.1766,0.2433,90.08,0.998725,high,0.049965,0.024982,1.0000,high,2.7976,3.0409,2.0017,2.1854,1.6854,2.1854,1.6854,False,0.000000,0.0000,
ndefects_data/ndefects_008_data,g-c3n4-007,2.3459,0.996703,medium,2.0536,0.2725,166.57,0.999421,high,0.038503,0.019251,1.0000,high,2.7899,3.0624,2.0502,2.1973,1.6973,2.1973,1.6973,False,0.000000,0.0000,
ndefects_data/ndefects_008_data,g-c3n4,2.4385,0.996848,medium,2.1435,0.2804,239.04,0.994215,medium,0.037840,0.018920,1.0000,high,2.7875,3.0680,2.1949,2.3342,1.8342,2.3342,1.8342,False,0.000000,0.0000,
ndefects_data/ndefects_009_data,1egcn,2.5006,0.987758,low,3.0152,0.2663,275.53,0.999968,high,0.005824,0.002842,0.9760,high,2.7850,3.0514,2.1179,2.2570,1.7690,2.2570,1.7570,False,0.000000,0.0000,
ndefects_data/ndefects_009_data,3egcn,2.4486,0.986748,low,3.0359,0.3008,309.42,0.999765,high,0.076315,0.038158,1.0000,high,2.7364,3.0372,2.1814,2.3293,1.8293,2.3293,1.8293,False,0.000000,0.0000,
ndefects_data/ndefects_009_data,4egcn,2.3697,0.990582,medium,2.7687,0.3178,444.22,0.999423,high,0.048533,0.024267,1.0000,high,2.7336,3.0514,2.0557,2.2146,1.7146,2.2146,1.7146,False,0.000000,0.0000,
ndefects_data/ndefects_009_data,bcn,2.5855,0.997954,high,3.7232,0.1697,86.82,0.975458,low,0.010864,0.003379,0.6221,medium,2.7877,2.9575,2.3065,2.4725,2.1615,2.4725,1.9725,False,0.000000,0.0000,
ndefects_data/ndefects_010_data,d3-g-c3n4,2.3397,0.999484,high,1.5938,0.3736,151.87,0.999645,high,0.000953,0.000476,1.0000,high,2.7889,3.1625,1.9914,2.1896,1.6896,2.1896,1.6896,False,0.000000,0.0000,
ndefects_data/ndefects_010_data,g-c3n4,2.5911,0.994754,medium,2.8703,0.1857,236.77,0.999856,high,0.002699,0.001350,1.0000,high,2.7889,2.9746,2.2232,2.4276,1.9276,2.4276,1.9276,False,0.000000,0.0000,
ndefects_data/ndefects_012_data,02c-g-c3n4,2.7395,0.996257,medium,4.1127,0.2167,341.89,0.999900,high,0.018089,0.009045,1.0000,high,2.9084,3.1251,2.2104,2.6530,2.1530,2.6530,2.1530,True,0.053073,2.6800,ndefects_012_abs_g-c3n4
ndefects_data/ndefects_012_data,g-c3n4,2.6083,0.955518,low,1.5220,0.5419,170.83,0.985235,medium,0.002683,0.001342,1.0000,high,2.6423,3.1841,2.1245,2.3788,1.8788,2.3788,1.8788,True,0.053073,2.6800,ndefects_012_abs_g-c3n4
ndefects_data/ndefects_016_data,g-c3n4,2.2802,0.995887,medium,2.3539,0.2242,131.38,0.997259,high,0.000314,0.000157,1.0000,high,2.6807,2.9049,1.9433,2.1548,1.6548,2.1548,1.6548,True,0.080345,2.7000,ndefects_016_abs_g-c3n4
ndefects_data/ndefects_021_data,bcn,2.5929,0.994206,medium,3.4059,0.2136,318.12,0.999979,high,0.020460,0.010230,1.0000,high,2.7858,2.9994,2.0548,2.1934,1.6934,2.1934,1.6934,False,0.000000,0.0000,
ndefects_data/ndefects_021_data,tpcn2,2.4700,0.994660,medium,2.0436,0.2910,358.30,0.999949,high,0.026661,0.013331,1.0000,high,2.8311,3.1221,2.0811,2.2234,1.7234,2.2234,1.7234,False,0.000000,0.0000,
ndefects_data/ndefects_021_data,tpcn5,2.4424,0.992993,medium,1.7434,0.3104,300.13,0.999934,high,0.016267,0.008134,1.0000,high,2.8220,3.1324,1.9559,2.0811,1.5811,2.0811,1.5811,False,0.000000,0.0000,
ndefects_data/ndefects_021_data,tpcn8,2.4815,0.995563,medium,2.0488,0.2740,505.51,0.999911,high,0.041785,0.020893,1.0000,high,2.8480,3.1220,2.1206,2.2686,1.7686,2.2686,1.7686,False,0.000000,0.0000,
ndefects_data/ndefects_024_data,gmn-0,2.6054,0.991213,medium,2.1313,0.5109,100.94,0.978601,low,0.001237,0.000618,1.0000,high,2.7564,3.2672,2.1022,2.2361,1.7361,2.2361,1.7361,False,0.000000,0.0000,
ndefects_data/ndefects_026_data,pcn,2.4545,0.994490,medium,1.5110,0.5182,287.26,0.998583,high,0.000084,0.000042,1.0000,high,2.8136,3.3318,2.1769,2.3498,1.8498,2.3498,1.8498,True,0.091270,2.6700,ndefects_026_abs_pcn
ndefects_data/ndefects_029_data,g-c3n4,2.5777,0.954566,low,1.8889,0.4505,473.60,0.993076,medium,0.002675,0.001338,1.0000,high,2.6124,3.0629,2.0815,2.2533,1.7533,2.2533,1.7533,True,0.070947,2.7600,ndefects_029_abs_g-c3n4
ndefects_data/ndefects_029_data,g-c3nx,2.6557,0.995734,medium,3.7786,0.2395,342.13,0.999836,high,0.007801,0.003900,1.0000,high,2.7925,3.0320,2.2847,2.5714,2.0714,2.5714,2.0714,True,0.070947,2.7600,ndefects_029_abs_g-c3n4
ndefects_data/ndefects_030_data,cn,2.4327,0.983501,low,2.1144,0.3750,210.25,0.999689,high,0.053351,0.026675,1.0000,high,2.6356,3.0106,1.9609,2.0882,1.5882,2.0882,1.5882,False,0.000000,0.0000,
ndefects_data/ndefects_030_data,vcn-500,2.3568,0.973534,low,1.7396,0.4222,661.55,0.999925,high,0.137508,0.068754,1.0000,high,2.6592,3.0814,2.0493,2.1888,1.6888,2.1888,1.6888,False,0.000000,0.0000,
ndefects_data/ndefects_030_data,vcn-550,2.2780,0.977535,low,1.8741,0.4096,260.86,0.999017,high,0.113710,0.053481,0.9407,high,2.6234,3.0330,1.8481,2.0218,1.5515,2.0218,1.5218,False,0.000000,0.0000,
ndefects_data/ndefects_030_data,vcn-600,2.2157,0.984345,low,1.8228,0.3558,281.94,0.999733,high,0.113986,0.052891,0.9280,high,2.6487,3.0045,1.8775,2.0189,1.5549,2.0189,1.5189,False,0.000000,0.0000,
ndefects_data/ndefects_031_data,b-gcn,2.5130,0.993439,medium,2.6601,0.2673,261.39,0.999834,high,0.000068,0.000034,1.0000,high,2.7560,3.0233,2.2447,2.4067,1.9067,2.4067,1.9067,True,0.063348,2.6700,ndefects_031_abs_b-gcn
ndefects_data/ndefects_031_data,vn-gcn,2.3245,0.994427,medium,2.1019,0.2645,222.39,0.999899,high,0.061070,0.030535,1.0000,high,2.8181,3.0826,1.9180,2.0560,1.5560,2.0560,1.5560,True,0.063348,2.6700,ndefects_031_abs_b-gcn
ndefects_data/ndefects_033_data,g-c3n4,2.4906,0.993660,medium,2.4176,0.2662,168.24,0.999681,high,0.000041,0.000021,1.0000,high,2.7270,2.9932,2.0040,2.1847,1.6847,2.1847,1.6847,True,0.085159,2.7300,ndefects_033_abs_g-c3n4
ndefects_data/ndefects_033_data,p-g-c3nx,2.0582,0.992363,medium,1.4257,0.2551,248.12,0.996300,high,0.241673,0.098530,0.8154,high,2.8313,3.0864,1.7222,1.9634,1.5557,1.9634,1.4634,True,0.085159,2.7300,ndefects_033_abs_g-c3n4
ndefects_data/ndefects_035_data,ah-cn,2.2263,0.996039,medium,2.4066,0.2365,205.90,0.999530,high,0.164050,0.082025,1.0000,high,2.6094,2.8460,1.9414,2.0739,1.5739,2.0739,1.5739,True,0.072744,2.6700,ndefects_035_abs_gcn
ndefects_data/ndefects_035_data,gcn,2.3983,0.995484,medium,3.2568,0.1880,135.50,0.997647,high,0.000058,0.000029,1.0000,high,2.5888,2.7767,2.1681,2.3093,1.8093,2.3093,1.8093,True,0.072744,2.6700,ndefects_035_abs_gcn
ndefects_data/ndefects_035_data,ph-cn,2.1495,0.998437,high,2.1553,0.2242,179.31,0.999646,high,0.080645,0.035192,0.8728,high,2.6374,2.8616,1.8685,1.9909,1.5545,1.9909,1.4909,True,0.072744,2.6700,ndefects_035_abs_gcn
ndefects_data/ndefects_036_data,gcn,2.5117,0.992822,medium,2.6122,0.2612,259.70,0.999937,high,0.000095,0.000047,1.0000,high,2.7695,3.0307,2.2580,2.4235,1.9235,2.4235,1.9235,True,0.060780,2.6700,ndefects_036_abs_gcn
ndefects_data/ndefects_036_data,plcn-15,2.4298,0.993879,medium,2.2930,0.2624,222.32,0.999809,high,0.016447,0.008224,1.0000,high,2.8066,3.0690,1.8807,2.0560,1.5560,2.0560,1.5560,True,0.060780,2.6700,ndefects_036_abs_gcn
ndefects_data/ndefects_036_data,plcn-30,2.3361,0.996904,medium,2.0610,0.2664,221.02,0.999840,high,0.036894,0.018447,1.0000,high,2.8135,3.0798,1.9221,2.0618,1.5618,2.0618,1.5618,True,0.060780,2.6700,ndefects_036_abs_gcn
ndefects_data/ndefects_036_data,plcn-45,2.2488,0.998282,high,1.8492,0.2810,213.95,0.999776,high,0.055548,0.027774,1.0000,high,2.8317,3.1128,1.9272,2.0677,1.5677,2.0677,1.5677,True,0.060780,2.6700,ndefects_036_abs_gcn
ndefects_data/ndefects_038_data,125agi-cn,2.4176,0.996099,medium,2.8451,0.2329,292.82,0.999873,high,0.041525,0.020763,1.0000,high,2.7326,2.9655,2.0744,2.2725,1.7725,2.2725,1.7725,False,0.000000,0.0000,
ndefects_data/ndefects_038_data,25agi-cn,2.3973,0.998205,high,2.9154,0.2018,239.85,0.998554,high,0.062481,0.030070,0.9625,high,2.7467,2.9485,1.9034,2.0376,1.5563,2.0376,1.5376,False,0.000000,0.0000,
ndefects_data/ndefects_038_data,5agi-cn,2.3689,0.997431,high,2.8564,0.1985,265.56,0.999929,high,0.055051,0.027525,1.0000,high,2.7182,2.9166,2.0799,2.2432,1.7432,2.2432,1.7432,False,0.000000,0.0000,
ndefects_data/ndefects_038_data,cn,2.4202,0.995148,medium,2.6967,0.2270,354.91,0.999679,high,0.061292,0.030646,1.0000,high,2.7494,2.9764,2.1249,2.3332,1.8332,2.3332,1.8332,False,0.000000,0.0000,
ndefects_data/ndefects_039_data,a,2.5097,0.989409,low,2.9366,0.2376,358.60,0.999262,high,0.002040,0.001020,1.0000,high,2.7325,2.9701,2.1953,2.3975,1.8975,2.3975,1.8975,False,0.000000,0.0000,
ndefects_data/ndefects_039_data,d,1.9547,0.987601,low,1.2405,0.3412,165.99,0.994043,medium,0.077039,0.022862,0.5935,medium,2.8332,3.1744,1.7296,1.8527,1.5559,1.8527,1.3527,False,0.000000,0.0000,
ndefects_data/ndefects_039_data,e,1.9937,0.974178,low,1.2478,0.3846,179.37,0.999508,high,0.090304,0.031686,0.7018,medium,2.8170,3.2016,1.7508,1.8998,1.5489,1.8998,1.3998,False,0.000000,0.0000,
ndefects_data/ndefects_039_data,f,2.1223,0.960938,low,1.3608,0.3621,190.16,0.999807,high,0.095297,0.046514,0.9762,high,2.8370,3.1992,1.8271,2.0420,1.5539,2.0420,1.5420,False,0.000000,0.0000,
ndefects_data/ndefects_040_data,a,2.4633,0.997566,high,2.9011,0.2076,276.62,0.999821,high,0.002583,0.001291,1.0000,high,2.7387,2.9463,2.1232,2.3809,1.8809,2.3809,1.8809,False,0.000000,0.0000,
ndefects_data/ndefects_040_data,b,2.3049,0.996923,medium,2.3564,0.2416,253.70,0.999957,high,0.025717,0.012859,1.0000,high,2.6971,2.9386,2.0647,2.2101,1.7101,2.2101,1.7101,False,0.000000,0.0000,
ndefects_data/ndefects_040_data,c,1.9639,0.993992,medium,1.5517,0.3137,144.42,0.992916,medium,0.064744,0.018635,0.5756,medium,2.6646,2.9783,1.7208,1.8421,1.5542,1.8421,1.3421,False,0.000000,0.0000,
ndefects_data/ndefects_042_data,cn,2.6869,0.992928,medium,2.8905,0.2288,229.98,0.999677,high,0.002804,0.001402,1.0000,high,2.9204,3.1492,2.3878,2.5952,2.0952,2.5952,2.0952,False,0.000000,0.0000,
ndefects_data/ndefects_042_data,odh-cn1,2.7033,0.979404,low,3.2484,0.2326,256.18,0.997344,high,0.002053,0.001026,1.0000,high,2.9616,3.1942,2.2475,2.4304,1.9304,2.4304,1.9304,False,0.000000,0.0000,
ndefects_data/ndefects_042_data,odh-cn2,2.5228,0.988670,low,2.4799,0.2574,167.57,0.998403,high,0.007567,0.003783,1.0000,high,2.9613,3.2187,2.0823,2.2384,1.7384,2.2384,1.7384,False,0.000000,0.0000,
ndefects_data/ndefects_044_data,cnm,2.2373,0.990612,medium,2.2096,0.3997,155.16,0.983235,medium,0.002697,0.001349,1.0000,high,2.5600,2.9597,1.9222,2.0569,1.5569,2.0569,1.5569,False,0.000000,0.0000,
ndefects_data/ndefects_045_data,b10,2.4995,0.991926,medium,3.1752,0.2618,291.29,0.999602,high,0.022646,0.011323,1.0000,high,2.7209,2.9827,2.1782,2.3981,1.8981,2.3981,1.8981,False,0.000000,0.0000,
ndefects_data/ndefects_045_data,f10,2.4655,0.975327,low,2.4429,0.2661,384.68,0.999799,high,0.077507,0.038754,1.0000,high,2.8954,3.1614,2.0397,2.1730,1.6730,2.1730,1.6730,False,0.000000,0.0000,
ndefects_data/ndefects_045_data,f12,2.6014,0.983425,low,2.9565,0.2577,322.33,0.994412,medium,0.063973,0.031986,1.0000,high,2.9138,3.1715,2.0680,2.3097,1.8097,2.3097,1.8097,False,0.000000,0.0000,
ndefects_data/ndefects_045_data,f2,2.4053,0.993951,medium,2.3231,0.2730,448.57,0.999814,high,0.071925,0.035962,1.0000,high,2.8525,3.1254,2.1424,2.2900,1.7900,2.2900,1.7900,False,0.000000,0.0000,
ndefects_data/ndefects_045_data,f4,2.3929,0.997200,high,2.2615,0.2686,424.92,0.999483,high,0.068916,0.034458,1.0000,high,2.8774,3.1460,2.1509,2.2986,1.7986,2.2986,1.7986,False,0.000000,0.0000,
ndefects_data/ndefects_045_data,f6,2.4594,0.982823,low,2.4654,0.2729,406.06,0.999702,high,0.068973,0.034486,1.0000,high,2.9041,3.1770,2.0862,2.2259,1.7259,2.2259,1.7259,False,0.000000,0.0000,
ndefects_data/ndefects_045_data,f8,2.4299,0.978228,low,2.3706,0.2161,439.15,0.998445,high,0.085215,0.042608,1.0000,high,2.8908,3.1068,2.0563,2.3125,1.8125,2.3125,1.8125,False,0.000000,0.0000,
ndefects_data/ndefects_046_data,ac-cn4,2.4431,0.993468,medium,2.6645,0.2157,497.26,0.999680,high,0.063893,0.031946,1.0000,high,2.7827,2.9984,2.1842,2.3387,1.8387,2.3387,1.8387,False,0.000000,0.0000,
ndefects_data/ndefects_046_data,cn,2.5672,0.989880,low,3.4632,0.2015,332.65,0.999976,high,0.002278,0.001139,1.0000,high,2.7605,2.9620,2.2579,2.4235,1.9235,2.4235,1.9235,False,0.000000,0.0000,
ndefects_data/ndefects_047_data,3%kbh-c3n4,1.8218,0.998276,high,0.4772,0.6328,98.83,0.998629,high,0.000037,0.000016,0.8712,high,2.2170,2.8498,1.5671,1.7356,1.3000,1.7356,1.2356,True,0.004957,2.7400,ndefects_047_tauc05_pristine-c3n4
ndefects_data/ndefects_047b_data,3%b-c3n4,2.6126,0.998059,high,1.4433,0.3598,112.42,0.995854,high,0.000043,0.000021,1.0000,high,2.7886,3.1484,2.3132,2.4788,1.9788,2.4788,1.9788,True,0.006558,2.6500,ndefects_047b_tauc05_3%b-c3n4
ndefects_data/ndefects_048_data,cnna-15,2.4058,0.989795,low,1.5641,0.3395,185.02,0.986462,medium,0.039696,0.019848,1.0000,medium,2.7223,3.0618,1.9929,2.2885,1.7885,2.2885,1.7885,False,0.000000,0.0000,
ndefects_data/ndefects_048_data,g-c3n4,2.5515,0.991568,medium,2.2746,0.2233,269.06,0.997623,high,0.009210,0.004605,1.0000,medium,2.7438,2.9670,2.1695,2.4514,1.9514,2.4514,1.9514,False,0.000000,0.0000,
ndefects_data/ndefects_051_data,cn,2.6013,0.997869,high,2.8634,0.2948,114.14,0.984962,medium,0.000213,0.000107,1.0000,high,2.8354,3.1302,2.3404,2.5051,2.0051,2.5051,2.0051,True,0.063786,2.7700,ndefects_051_abs_cn
ndefects_data/ndefects_052_data,cn-s,2.8249,0.997962,high,1.4923,0.5186,309.96,0.999699,high,0.345688,0.172844,1.0000,high,3.5893,4.1079,2.3022,2.5520,2.0520,2.5520,2.0520,False,0.000000,2.7200,ndefects_052_abs_cn
ndefects_data/ndefects_054_data,c3n4,2.6552,0.977010,low,3.0771,0.1615,193.62,0.999680,high,0.229705,0.114852,1.0000,high,3.0051,3.1666,2.2575,2.4382,1.9382,2.4382,1.9382,False,0.000000,2.4700,ndefects_054_abs_ptnv650-c3n4
ndefects_data/ndefects_054_data,pt-c3n4,2.4947,0.993498,medium,2.3776,0.2073,418.24,0.999859,high,0.181443,0.090721,1.0000,high,2.9413,3.1486,2.1530,2.3895,1.8895,2.3895,1.8895,False,0.000000,2.4700,ndefects_054_abs_ptnv650-c3n4
ndefects_data/ndefects_054_data,ptnv550-c3n4,2.5153,0.991778,medium,2.3783,0.1995,384.44,0.999956,high,0.144823,0.072412,1.0000,high,2.9700,3.1695,2.0453,2.1925,1.6925,2.1925,1.6925,False,0.000000,2.4700,ndefects_054_abs_ptnv650-c3n4
ndefects_data/ndefects_054_data,ptnv600-c3n4,2.6531,0.973962,low,2.9740,0.1869,337.46,0.999913,high,0.110383,0.055191,1.0000,high,2.9706,3.1575,2.2636,2.4454,1.9454,2.4454,1.9454,False,0.000000,2.4700,ndefects_054_abs_ptnv650-c3n4
ndefects_data/ndefects_054_data,ptnv650-c3n4,2.6748,0.977012,low,2.9238,0.1935,304.74,0.999743,high,0.086441,0.043220,1.0000,high,2.9753,3.1687,2.2728,2.4561,1.9561,2.4561,1.9561,False,0.000000,2.4700,ndefects_054_abs_ptnv650-c3n4
ndefects_data/ndefects_055_data,cn-n,2.5951,0.995027,medium,2.8141,0.2793,252.81,0.999158,high,0.018095,0.009047,1.0000,high,2.8150,3.0943,2.0619,2.2498,1.7498,2.2498,1.7498,False,0.000000,0.0000,
